epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0596,1.38879,3.10839,1.17294,0.02218,0.85714,0.62319,0.29068,0.98298,3.55435,0.97409,0.000362283,0.000362283,0.000362283
2,19.9502,1.14112,1.83606,1.07144,0.01526,1,0.58266,0.42593,0.95138,2.67648,0.97222,0.00071811,0.00071811,0.00071811
3,29.0015,1.07062,1.48747,1.02053,0.47159,0.86582,0.82917,0.4848,1.09616,1.57963,1.01304,0.00105927,0.00105927,0.00105927
4,38.0847,1.02769,1.31248,1.00386,0.59969,1,0.97426,0.66606,1.14494,1.16073,1.03993,0.00104501,0.00104501,0.00104501
5,47.1973,0.98005,1.20101,0.99474,0.88819,0.81034,0.93944,0.65063,0.98231,0.83897,1.01876,0.00102301,0.00102301,0.00102301
6,56.4067,0.95011,1.11205,0.96577,0.90386,0.64619,0.995,0.73177,0.96329,0.79652,1.02302,0.00100101,0.00100101,0.00100101
7,65.4809,0.9578,1.12159,0.98613,0.72372,1,0.995,0.76339,0.93084,0.77648,1.01536,0.000979013,0.000979013,0.000979013
8,74.511,0.9334,1.04708,0.97345,0.93534,1,0.995,0.78936,0.79675,0.67967,0.92511,0.000957015,0.000957015,0.000957015
9,83.3291,0.94097,0.98976,0.97283,0.88644,0.98904,0.995,0.71747,0.9389,0.77935,1.02678,0.000935018,0.000935018,0.000935018
10,92.0561,0.92212,0.92496,0.96987,0.92429,1,0.995,0.69185,0.97367,0.60598,1.0614,0.00091302,0.00091302,0.00091302
11,100.84,0.90045,0.88559,0.9653,0.72797,1,0.82333,0.64632,0.91561,0.75899,1.00408,0.000891022,0.000891022,0.000891022
12,109.738,0.90182,0.87665,0.96613,0.97417,0.66667,0.995,0.78341,0.8593,0.71115,0.96456,0.000869024,0.000869024,0.000869024
13,118.516,0.89266,0.85783,0.96246,0.74688,0.96935,0.87861,0.6601,0.86126,0.85421,0.94946,0.000847026,0.000847026,0.000847026
14,127.17,0.86918,0.79165,0.95151,0.94332,0.94486,0.995,0.74009,0.88119,0.60234,0.9763,0.000825029,0.000825029,0.000825029
15,135.974,0.88229,0.81214,0.9449,0.93006,1,0.995,0.70928,0.90095,0.65172,0.98856,0.000803031,0.000803031,0.000803031
16,144.746,0.86131,0.78779,0.94548,0.9697,0.93804,0.995,0.78171,0.76443,0.53354,0.94716,0.000781033,0.000781033,0.000781033
17,153.482,0.85354,0.74414,0.95286,0.95829,0.9943,0.995,0.78681,0.74978,0.56492,0.91453,0.000759035,0.000759035,0.000759035
18,162.225,0.87325,0.76108,0.95282,0.94042,0.91889,0.98917,0.79533,0.85538,0.53053,0.9469,0.000737037,0.000737037,0.000737037
19,171.063,0.84183,0.72586,0.95425,0.95051,0.97402,0.995,0.80127,0.82627,0.56728,0.9603,0.00071504,0.00071504,0.00071504
20,179.779,0.84539,0.71353,0.94441,0.90955,1,0.995,0.7561,0.80435,0.5515,0.93495,0.000693042,0.000693042,0.000693042
21,188.664,0.83929,0.70705,0.9412,0.88722,1,0.995,0.75974,0.8408,0.51599,0.99957,0.000671044,0.000671044,0.000671044
22,197.46,0.82728,0.65733,0.92873,0.79287,1,0.995,0.81732,0.80972,0.62167,0.9411,0.000649046,0.000649046,0.000649046
23,206.164,0.8196,0.66914,0.93474,0.92181,0.99565,0.995,0.80858,0.8141,0.54473,0.92947,0.000627048,0.000627048,0.000627048
24,214.911,0.822,0.66427,0.93427,0.93449,0.99988,0.995,0.79617,0.82794,0.53132,0.92338,0.000605051,0.000605051,0.000605051
25,223.634,0.822,0.65653,0.93032,0.95008,0.98809,0.995,0.82536,0.76429,0.45947,0.9238,0.000583053,0.000583053,0.000583053
26,232.316,0.80714,0.6479,0.91968,0.97106,1,0.995,0.80993,0.82298,0.44971,0.94211,0.000561055,0.000561055,0.000561055
27,241.169,0.80779,0.62875,0.93451,0.76154,1,0.995,0.81401,0.76642,0.53053,0.92062,0.000539057,0.000539057,0.000539057
28,249.895,0.78941,0.58905,0.92025,0.97105,0.91184,0.995,0.77247,0.87757,0.58728,0.97839,0.000517059,0.000517059,0.000517059
29,258.646,0.80496,0.58737,0.92984,0.94597,1,0.995,0.79724,0.85349,0.44216,0.97614,0.000495062,0.000495062,0.000495062
30,267.36,0.79321,0.6065,0.92205,0.95273,1,0.995,0.77627,0.85263,0.48376,0.93135,0.000473064,0.000473064,0.000473064
31,276.06,0.79893,0.57171,0.91713,0.97454,1,0.995,0.83337,0.80337,0.43883,0.91402,0.000451066,0.000451066,0.000451066
32,284.729,0.76715,0.55559,0.90544,0.95628,0.99431,0.995,0.84807,0.76622,0.47899,0.90304,0.000429068,0.000429068,0.000429068
33,293.443,0.78121,0.56801,0.91898,0.92369,1,0.995,0.83659,0.76949,0.45009,0.90782,0.00040707,0.00040707,0.00040707
34,302.175,0.77433,0.55106,0.90729,0.96298,0.93139,0.995,0.82105,0.75098,0.43705,0.89746,0.000385073,0.000385073,0.000385073
35,310.846,0.76873,0.55668,0.9109,0.97048,0.99905,0.995,0.85192,0.69825,0.41714,0.89852,0.000363075,0.000363075,0.000363075
36,319.714,0.75663,0.53368,0.90642,0.94912,0.98727,0.995,0.78854,0.82116,0.43516,0.92269,0.000341077,0.000341077,0.000341077
37,328.652,0.76641,0.54013,0.91527,0.96633,0.99652,0.995,0.80546,0.79235,0.42742,0.91323,0.000319079,0.000319079,0.000319079
38,337.77,0.75315,0.53658,0.90787,0.92531,0.98743,0.995,0.81909,0.76941,0.46811,0.90445,0.000297081,0.000297081,0.000297081
39,346.822,0.72963,0.50142,0.9017,0.9298,0.97595,0.995,0.81429,0.82289,0.49603,0.91862,0.000275084,0.000275084,0.000275084
40,355.927,0.74959,0.50682,0.9017,0.95219,1,0.995,0.84262,0.81378,0.40959,0.91358,0.000253086,0.000253086,0.000253086
41,392.216,0.72409,0.54592,0.89361,0.70133,1,0.93944,0.75565,0.83757,0.57694,0.91927,0.000231088,0.000231088,0.000231088
42,401.34,0.7218,0.50293,0.89486,0.85669,1,0.995,0.8296,0.75132,0.46084,0.90241,0.00020909,0.00020909,0.00020909
43,410.443,0.71502,0.50517,0.89029,0.95985,1,0.995,0.8013,0.83282,0.42593,0.92795,0.000187092,0.000187092,0.000187092
44,419.448,0.71523,0.48746,0.89357,0.96333,0.97138,0.995,0.77237,0.8495,0.4226,0.93872,0.000165095,0.000165095,0.000165095
45,428.349,0.70076,0.47347,0.88639,0.94432,0.99635,0.995,0.79101,0.81461,0.39967,0.92999,0.000143097,0.000143097,0.000143097
46,437.542,0.69179,0.46864,0.88533,0.96528,0.99582,0.995,0.78077,0.89968,0.39286,0.94602,0.000121099,0.000121099,0.000121099
47,446.468,0.67516,0.466,0.87521,0.96134,1,0.995,0.78249,0.9244,0.4006,0.96173,9.91012e-05,9.91012e-05,9.91012e-05
48,455.478,0.6668,0.45442,0.87273,0.97564,0.96215,0.995,0.78739,0.88629,0.38921,0.95142,7.71034e-05,7.71034e-05,7.71034e-05
49,464.454,0.68097,0.45742,0.87855,0.97741,0.96391,0.995,0.78633,0.84463,0.39241,0.93489,5.51056e-05,5.51056e-05,5.51056e-05
50,473.465,0.66,0.44061,0.86751,0.97499,0.96145,0.995,0.76928,0.87397,0.40413,0.9421,3.31078e-05,3.31078e-05,3.31078e-05
